"no","sun","ins","kal"
,"aa","kakak",
,"abah","ayah",
,"abdi","saya",
,"ameh","supaya",
,"aben","adu",
,"aber","bepergian",
,"ablag","luas",
,"ablu","pekerjaannya tidak menentu",
,"abong","mentang-mentang",
,"abot","berat",
,"abotna","beratnya",
,"abreg","datang bersamaan waktunya",
,"abret","lari sambil melompat",
,"abring","berjalan bersama-sama",
,"abrug","meronta-ronta",
,"abrul","berjalan bersama-sama",
,"abur","dilepas",
,"abur-aburan","pergi jauh dan berpindah-pindah tempat",
,"abus","masuk",
,"acak","pekerjaan tidak pakai aturan",
,"acan","belum",
,"acay","liur",
,"aceuk","kakak",
,"acleng","loncat",
,"aclog","loncat kodok",
,"aco","berkata-kata tidak karuan",
,"acos","sulit memasukkan ujung sesuatu ke dalam lubang",
,"acreug","meloncat-loncat kecil",
,"acuk","baju",
,"adegan","adegan",
,"adek","menempel",
,"adeuh","pertimbangan",
,"adi","adik",
,"adigung","takabur",
,"adol","kurang ajar",
,"adon","di tempat lain",
,"ador","bepergian tanpa tujuan",
,"adu","adu",
,"adug","meronta-ronta",
,"aduy","hampir hancur",
,"aeh","(seruan kaget)",
,"aeuk","menangis",
,"agag","ragu-ragu",
,"ageh","menyisihkan",
,"ageman","pegangan",
,"ageung","besar",
,"agreng","besar, bagus, dan teratur",
,"agul","bangga",
,"ahad","minggu/ahad",
,"aheng","aneh",
,"ahli","ahli",
,"aing","saya",
,"ais","menggendong",
,"ajak","ajak",
,"ajang","untuk",
,"ajeg","tegak",
,"ajen","nilai",
,"ajengan","ulama",
,"ajle","meloncat-loncat dengan sebelah kaki",
,"ajleng","loncat",
,"ajol","meloncat tiba-tiba",
,"ajrag","melonjak kegirangan",
,"ajret","lari dan meloncat",
,"ajrih","segan",
,"ajrug","meloncat lurus ke atas",
,"ajul","menjolok",
,"ajur","hancur lebur",
,"akang","kakak",
,"akeup","mendekap",
,"akey","tertawa terpingkal-pingkal",
,"akhirna","akhirnya",
,"aki","kakek",
,"aki ti gigir","saudara kakek",
,"akibat","akibat",
,"akod","menggendong (anak) (di atas punggung)",
,"aksara","aksara",
,"aku","mengaku",
,"akut","mengangkut",
,"ala","mencari",
,"alabring","berangkat bersama-sama",
,"alangah","tersenyum-senyum",
,"alas","nasi dan lauk-pauknya untuk satu orang",
,"alatan","karena",
,"alem","memuji-muji",
,"alesan","alasan",
,"aleut","berjalan beriring-iringan",
,"alhamdulillah","alhamdulillah",
,"alih","pindah",
,"alim","tidak mau",
,"aling","sekat",
,"alit","kecil",
,"alo","keponakan",
,"alon","lambat",
,"alpukah","gagasan",
,"alum","murah",
,"alung","lempar",
,"alur","bekas yang memanjang di permukaan tanah",
,"alus","baik",
,"am","makan",
,"amanat","amanah",
,"amang","paman",
,"ambacak","berserakan",
,"ambah","melalui",
,"ambay","berjuntai",
,"ambek","marah",
,"ambekan","napas",
,"ambeng","makan sambil berjalan di luar rumah",
,"ambeu","bau",
,"ambleng","lama sekali tidak ada kabar beritanya",
,"ambles","amblas",
,"ambon","teringat sendiri",
,"ambucuy","mengundang selera karena berwarna merah",
,"ambul","muncul dari dalam air",
,"amburadul","rusak dan berantakan",
,"ameng","main",
,"amis","manis",
,"amit","mohon diri",
,"ampar","menghampar",
,"ampeg","berat berisi",
,"ampeuh","tertahan",
,"ampih","kembali",
,"amprok","berjumpa",
,"ampuh","mujarab",
,"amuk","mengamuk",
,"anak","anak",
,"anak-anakna","anak-anaknya",
,"anca","pelan",
,"ancal","masih jarang",
,"ancam","mengancam",
,"ancer","kira-kira",
,"ancik","tinggal",
,"ancin","sedikit (makan)",
,"anclang","bepergian jauh",
,"anclom","masuk ke dalam benda cair",
,"anclong","pergi tanpa tujuan",
,"anco","cadangan",
,"ancrub","turun ke dalam air",
,"ancrud","bepergian",
,"ancul","melonjak",
,"ancur","hancur",
,"andeg","berhenti",
,"andekak","duduk sila",
,"andel","percaya",
,"andeprok","bersimpuh",
,"andih","merebut tempat",
,"andika","engkau",
,"angar","tandus",
,"angas","kejam",
,"anggalna","awalnya",
,"anggapan","anggapan",
,"anggota","anggota",
,"anging","hanya",
,"angkeng","pinggang",
,"angkeub","mendung",
,"angkeuh","kemegahan",
,"angkeut","dagu",
,"angkir","mengundang",
,"angkleung","hanyut mengapung",
,"angkog","berjongkok",
,"angles","mangkir",
,"angluh","murung",
,"angob","menguap",
,"angot","apalagi",
,"angseg","maju",
,"angson","menghasut",
,"angsrod","menarik ke atas",
,"anjang","bertemu",
,"anjeun","engkau",
,"anjog","tiba",
,"anjrek","tinggal sementara",
,"anjuk","berutang",
,"anom","muda",
,"antara","renggang, antara",
,"antarana","antaranya",
,"antare","santai",
,"antawis","antara",
,"antay","antri",
,"anteb","sungguh-sungguh",
,"anteng","tidak rewel",
,"antep","membiarkan",
,"anteur","mengantar",
,"antieum","pendiam",
,"antos","tunggu",
,"anu","yang. milik",
,"anut","menurut, patuh",
,"anyar","baru",
,"apal","hapal, ingat",
,"apeng","cepat sekali, ngebut",
,"apes","sial",
,"apet","raket, tak mau menjauh",
,"aping","menjaga, membimbing",
,"aplak","luas",
,"aplek","terkulai karena patah",
,"aplen","pelan (mengerjakannya)",
,"aprak","pergi mencari",
,"apruk","berjalan ke tempat yang jarang di kunjungi orang",
,"apung","terbang",
,"arah","tujuan",
,"aral","rintangan",
,"aralus","bagus-bagus",
,"arandika","anda sekalian",
,"arap-ap eureup-eup ","gagap ",
,"arasup","pada memasuki",
,"arek","hendak, mau, akan",
,"aremut","ingat (jamak)",
,"arendah","indah-indah",
,"arep","berharap, menanti-nanti",
,"areureun","pada berhenti",
,"ari","sedangkan",
,"arileu","berbelok-belok",
,"aripis","tipis-tipis",
,"arot","minum",
,"artos","uang",
,"artos","uang",
,"arulin","pada bermain",
,"aruy","terbit selera",
,"asa","rasa",
,"asah","mengasah",
,"asak","masak, matang",
,"asal","keturunan",
,"asalna","asalnya",
,"asasi","asasi",
,"aseupan","kukusan",
,"asih","kasih sayang, cinta",
,"asin","asin",
,"asod","perlahan naik ke atas",
,"asong","sodor",
,"asoy","maju pelan di permukaan air",
,"aspal","aspal",
,"asrek","(orang banyak ) cari binatang",
,"asrog","ajukan diri agar dipakai atasan",
,"asruk","cari barang di tempat sulit",
,"astana ","tempat pemakaman, makam ",
,"asuh","mengasuh, membimbing",
,"asup","masuk",
,"atah","mentah",
,"atanapi","atau",
,"atawa","atau",
,"ateul","gatal",
,"ati","hati",
,"ati-ati","hati-hati, mengancam",
,"atik","mendidik",
,"atikan","didikan",
,"atoh","gembira",
,"atra","jelas terlihat",
,"atrok","pergi tanpa tujuan",
,"atur","menata, mengatur",
,"aub","ikut serta",
,"awahan","ancang-ancang",
,"awak","badan",
,"awakna","badannya",
,"awalna","awalnya",
,"aweh","memberi",
,"awer","berceceran",
,"awet","awet",
,"aweuhan","gaung",
,"awewe","wanita",
,"awi","bambu",
,"awis","mahal",
,"awit","asal, mula",
,"awon","jelek",
,"awong","berkata dengan suara keras",
,"awor","menyatu",
,"awuntah","boros",
,"awur","menabur",
,"awut","acak",
,"aya","ada",
,"ayak","menyaring",
,"ayap","meraba-raba",
,"ayer","hujan terus",
,"ayeuh","rebah",
,"ayeuna","sekarang",
,"ayi","adik",
,"ayon","menakar, menimbang",
,"ayum","mengganti yang rusak",
,"ayun","mengayun",
,"baal","tidak berasa sakit  atau karena sangat dingin",
,"babad","cerita yang mengandung unsur-unsur sejarah",
,"babak","1. ronde, 2. lecet(luka).",
,"babakan","kampung baru",
,"babaladon","kotakan kecil di sawah",
,"babar","melahirkan",
,"babaran","uraian",
,"babari","mudah, tidak sukar",
,"babatok","kepala",
,"babaturanana","teman-temannya",
,"babaung","salak anjing atau serigala",
,"babay","buang air besar tak tertahankan",
,"babet","banting, lempar",
,"babilu","dungu, amat bodoh",
,"babit","memukiul /membacok kekiri  kekanan",
,"bablas","sampai usia, terang, jelas",
,"babon","bibit, ayam betina yang sudah bertelur",
,"babu","pembantu rumah tangga",
,"babuk","pukul",
,"baca","membaca",
,"bacacar","berantakan",
,"baceo","bicara tak henti-henti",
,"bacot","mulut,,ngomong",
,"badag","kasar(tidak halus),",
,"badami","berunding, berembug, musyawarah",
,"badan","badan, jasmani",
,"badarat","berjalan kaki",
,"badaus","berjalan lurus",
,"bade","akan, hendah",
,"badeg","banyak sekali",
,"badega","pelayan",
,"badeur","nakal, bandel",
,"badigul","berbadan besar",
,"badis","mirip sekali",
,"badog","curi",
,"badug","menggerakkan badan",
,"bae","biar saja",
,"baeu","mari",
,"baeud","bermuka masam",
,"bagbagan","pokok, rival",
,"bage","bagi",
,"bagea","rasa rindu kepada yang jarang datang",
,"bagedur","kotor",
,"bagegel","serasa sesak,jengkel,dongkol",
,"bagel","keras di dalam",
,"bageur","baik hati/baik tingkah lakunya",
,"bagi","membagikan, bagian",
,"bagian","bagian",
,"bagja","bahagia",
,"bagug","ada",
,"baha","membangkang",
,"baham","mulut",
,"bahe","tumpah",
,"bahenol","montok",
,"baheula","dahulu",
,"baheum","ngulum",
,"bahula","membangkang",
,"bajigur","bajigur",
,"bajo","perampok",
,"bajong","borong",
,"baju","baju",
,"bakal","bahan, akan",
,"baketut","diikat beberapa kali",
,"baketut","diikat beberapa kali",
,"bako","tembakau",
,"bakorban","berkorban",
,"bakrek","berantakan",
,"bakti","berbakti",
,"baktos","bakti",
,"bala","tidak bersih(sampah)",
,"balabah","dermawan",
,"balad","pasukan, teman seia sekata",
,"baladah","memulai pekerjan berat",
,"balaga","angkuh, sombong",
,"balagadigdeug",,
,"balageur","baik-baik",
,"balagonjang","coba-coba",
,"balaham-belehem","tersenyum malu",
,"balai","mara bahaya",
,"balaka","terus terang",
,"balakang kalih","esok lusa",
,"balakecrakan","makan-makan",
,"balang","melempar",
,"balangah","lengah",
,"balangsak","miskin, sengsara",
,"balantik","berniaga",
,"balarea","masyarakat",
,"balas","suatu akibat",
,"balatak","berserakan, kotor",
,"balawiri","hilir mudik",
,"balayar","berlayar",
,"bale","balai",
,"baledog","lempar",
,"balem","bungkam",
,"bales","balas",
,"balibir","bicara tidak terus terang",
,"balideg","karena pilek /pusing bicara tidak jelas",
,"balieur","membuang muka",
,"balik","pulang",
,"balilihan","menangis sakit hati",
,"balinger","tertipu, keliru",
,"balitungan","menyelesaikan utang piutang",
,"baliut","simpang siur di tempat ramai",
,"baloboran","banyak darah karena luka",
,"balongkeng","muntah-muntah",
,"baluas","kaget karena ingat kejadian yang mengerikan",
,"balukar","akibat",
,"balur","obat digosokkan ke badan",
,"baluweng","sangat bingung",
,"bancang","kekacauan",
,"bangke","bangkai, mayat",
,"bangkerut","cemberut",
,"bangkieung","hilang keseimbingan",
,"banglus","selamat tidak ada halangan",
,"bangor","nakal, bandel",
,"bangreung","pikiran tidak tenang",
,"bangsa-bangsa","bangsa-bangsa",
,"bangun","bentuk",
,"bangus","mulut",
,"banjel","membantu ala kadarnya",
,"banjur","menyiram dengan air",
,"banter","khusuk",
,"banting","banting",
,"bantrak-bantrakkeun",,
,"bantu","bantu",
,"bantuan","bawa, ambil",
,"bantut","tidak sampai selesai",
,"banyol","humor, berkelakar",
,"bao","kakeknya kakek",
,"bao","cucunya cucu",
,"bapa","lelaki yang punya anak",
,"bapa","ayah, bapak",
,"bapana","bapaknya",
,"barabat","bicara, bercerita",
,"baragajul","berandal",
,"barak","berserakan di lantai",
,"barakatak","tertawa keras",
,"baraya","saudara",
,"bared","luka tergores",
,"bareng","beserta",
,"barentol","bentol-bentol",
,"barerang","ikut dimarahi",
